City_ID,City,Country,Max Temp,Current_Description,Lat,Lng,Hotel Name
3,Panguna,PG,70.0,light rain,-6.3164,155.4848,
5,Cape Town,ZA,61.27,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
7,Nemuro,JP,61.23,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
9,Margate,GB,61.3,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
10,Jinchang,CN,61.65,scattered clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
15,Airai,TL,59.74,broken clouds,-8.9266,125.4092,Juvinal Martin
24,Klaksvik,FO,52.72,overcast clouds,62.2266,-6.589,Airbnb rooms
25,Bredasdorp,ZA,55.27,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
33,Mataura,NZ,50.49,overcast clouds,-46.1927,168.8643,Ellie's Villa
38,Busselton,AU,61.05,light rain,-33.65,115.3333,Observatory Guest House
41,Muros,ES,61.23,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
42,Bone,DE,51.39,overcast clouds,51.9669,12.1396,Sporthotel Wallwitz
44,Yellowknife,CA,51.42,overcast clouds,62.456,-114.3525,The Explorer Hotel
45,Hervey Bay,AU,66.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
54,Port Alfred,ZA,63.32,few clouds,-33.5906,26.891,The Halyards Hotel
56,Hermanus,ZA,61.9,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
57,Northam,GB,62.22,overcast clouds,51.0333,-4.2167,Durrant House Hotel
59,Port Elizabeth,ZA,63.1,light rain,-33.918,25.5701,39 On Nile Guest House
61,Antofagasta,CL,60.35,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
69,Mantua,IT,67.73,overcast clouds,45.1667,10.7833,Hotel la Favorita
71,Hushitai,CN,54.79,broken clouds,41.9322,123.5114,Home Inn Plus Shenyang Shihutai University Town
77,Esperance,AU,57.04,clear sky,-33.8667,121.9,Hospitality Esperance
78,Vila Velha,BR,66.94,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
81,Jamestown,US,60.3,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
