City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
0,Hamilton,US,39.1834,-84.5333,80.78,49,100,1.01,overcast clouds
1,Narsaq,GL,60.9167,-46.05,34.02,45,0,3.51,clear sky
2,Seryshevo,RU,51.0933,128.3786,34.34,91,72,5.93,broken clouds
3,Panguna,PG,-6.3164,155.4848,70.0,95,99,2.17,light rain
4,Orange Cove,US,36.6244,-119.3137,86.85,24,1,4.61,clear sky
5,Cape Town,ZA,-33.9258,18.4232,61.27,76,0,9.46,clear sky
6,Harper,LR,4.375,-7.7169,77.61,85,54,6.62,broken clouds
7,Nemuro,JP,43.3236,145.575,61.23,94,81,6.55,broken clouds
8,Atuona,PF,-9.8,-139.0333,78.12,69,7,17.67,clear sky
9,Margate,GB,51.3813,1.3862,61.3,77,100,5.01,overcast clouds
10,Jinchang,CN,38.4953,102.1739,61.65,25,31,7.47,scattered clouds
11,Umri,IN,26.5106,78.9367,80.28,74,23,4.45,few clouds
12,Kirs,RU,59.3388,52.2447,43.25,96,100,4.63,overcast clouds
13,Hilo,US,19.7297,-155.09,78.8,94,90,5.75,moderate rain
14,Faanui,PF,-16.4833,-151.75,79.27,73,1,17.6,clear sky
15,Airai,TL,-8.9266,125.4092,59.74,57,69,2.48,broken clouds
16,Upernavik,GL,72.7868,-56.1549,32.72,85,100,13.82,overcast clouds
17,Hithadhoo,MV,-0.6,73.0833,81.34,74,69,2.44,broken clouds
18,Bengkulu,ID,-3.8004,102.2655,74.53,88,100,3.31,light rain
19,Bambous Virieux,MU,-20.3428,57.7575,72.21,76,23,13.38,few clouds
20,Omboue,GA,-1.5746,9.2618,77.11,85,100,8.05,overcast clouds
21,Vagur,FO,61.4732,-6.8119,49.64,87,100,25.95,overcast clouds
22,Mahebourg,MU,-20.4081,57.7,72.25,76,25,13.58,scattered clouds
23,Salalah,OM,17.0151,54.0924,79.48,86,100,2.1,overcast clouds
24,Klaksvik,FO,62.2266,-6.589,52.72,92,99,23.71,overcast clouds
25,Bredasdorp,ZA,-34.5322,20.0403,55.27,97,63,6.04,broken clouds
26,Brindisi,IT,40.5833,17.6667,70.77,80,0,9.04,clear sky
27,Punta Arenas,CL,-53.15,-70.9167,46.51,42,0,23.02,clear sky
28,Provideniya,RU,64.3833,-173.3,35.71,60,75,13.42,broken clouds
29,Conceicao Do Araguaia,BR,-8.2578,-49.2647,88.95,40,97,4.09,moderate rain
30,Rikitea,PF,-23.1203,-134.9692,72.79,73,2,18.97,clear sky
31,Teguldet,RU,57.3064,88.1667,37.06,98,100,4.38,light rain
32,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.36,81,63,14.38,broken clouds
33,Mataura,NZ,-46.1927,168.8643,50.49,76,100,4.16,overcast clouds
34,Sechura,PE,-5.5569,-80.8222,74.03,60,78,16.58,broken clouds
35,Vestmannaeyjar,IS,63.4427,-20.2734,42.58,74,100,20.83,overcast clouds
36,Cienfuegos,CU,22.1461,-80.4356,83.97,68,47,5.08,light rain
37,Banda Aceh,ID,5.5577,95.3222,78.55,81,100,8.25,moderate rain
38,Busselton,AU,-33.65,115.3333,61.05,89,50,17.13,light rain
