City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-09-29 16:20:29,-23.1203,-134.9692,72.93,70,66,18.97
1,Ushuaia,AR,2021-09-29 16:20:30,-54.8,-68.3,47.86,37,75,26.46
2,Beckum,DE,2021-09-29 16:20:30,51.75,8.0333,55.85,90,100,18.41
3,Grabovo,RU,2021-09-29 16:20:30,53.3875,45.064,47.53,41,59,5.26
4,Avarua,CK,2021-09-29 16:20:31,-21.2078,-159.775,66.25,100,98,1.14
5,Dwarka,IN,2021-09-29 16:20:31,22.2394,68.9678,83.01,84,100,12.41
6,Namibe,AO,2021-09-29 16:20:31,-15.1961,12.1522,67.57,76,17,10.0
7,Mnogovershinnyy,RU,2021-09-29 16:20:32,53.9353,139.9242,50.9,92,100,3.69
8,Bredasdorp,ZA,2021-09-29 16:20:32,-34.5322,20.0403,58.28,72,100,18.86
9,Hithadhoo,MV,2021-09-29 16:20:32,-0.6,73.0833,82.98,72,43,6.04
10,Mahon,ES,2021-09-29 16:20:33,39.8885,4.2658,73.96,64,20,13.8
11,Akureyri,IS,2021-09-29 16:20:33,65.6835,-18.0878,42.73,75,75,12.66
12,Cabo San Lucas,MX,2021-09-29 16:20:33,22.8909,-109.9124,86.5,67,13,9.31
13,Ribnitz-Damgarten,DE,2021-09-29 16:20:34,54.25,12.4667,59.45,68,98,12.97
14,Albany,US,2021-09-29 16:20:34,42.6001,-73.9662,62.82,57,17,3.0
15,Mataura,NZ,2021-09-29 16:20:34,-46.1927,168.8643,41.49,97,97,6.87
16,Yellowknife,CA,2021-09-29 16:18:45,62.456,-114.3525,47.41,100,75,0.0
17,New Norfolk,AU,2021-09-29 16:20:35,-42.7826,147.0587,49.5,70,77,1.63
18,Cap Malheureux,MU,2021-09-29 16:20:35,-19.9842,57.6142,73.47,70,38,5.99
19,Bara,NG,2021-09-29 16:20:36,10.3744,10.7288,82.13,67,100,3.49
20,Busselton,AU,2021-09-29 16:20:36,-33.65,115.3333,58.08,90,6,8.14
21,Terrace,CA,2021-09-29 16:20:36,54.5163,-128.6035,44.51,93,75,5.75
22,Hilo,US,2021-09-29 16:20:37,19.7297,-155.09,80.28,77,20,9.22
23,Sao Joao Da Barra,BR,2021-09-29 16:20:37,-21.6403,-41.0511,84.29,70,0,19.37
24,Trelew,AR,2021-09-29 16:20:37,-43.249,-65.3051,74.82,13,54,23.44
25,Casper,US,2021-09-29 16:20:38,42.8666,-106.3131,48.97,89,90,3.0
26,Kapaa,US,2021-09-29 16:20:38,22.0752,-159.319,75.52,80,75,12.66
27,Meulaboh,ID,2021-09-29 16:20:38,4.1363,96.1285,75.47,93,100,4.18
28,Havre-Saint-Pierre,CA,2021-09-29 16:20:39,50.2334,-63.5986,59.36,51,75,11.5
29,Bluff,NZ,2021-09-29 16:20:39,-46.6,168.3333,41.81,68,95,22.44
